d20550|断掉电源电路。|├電源回路抹消
d08584|断面电阻试验电源电路电压|├絶縁抵抗試験電源回路電圧
d08586|绝缘电阻试验电源电路绝缘电阻|├絶縁抵抗試験電源回路絶縁抵抗
d08588|水绝缘电阻试验电源电路接地相好不好|├絶縁抵抗試験電源回路接地相良否
d20955|断掉电源主电路|├電動機主回路抹消
d20956|断水电机主电路电压|├電動機主回路電圧
d20551|断水电机主电路电压选择|├電動機主回路電圧選択
d21036|断水电机主电路电阻|├電動機主回路抵抗
d08561|有无绝缘电阻试验发电机（发・电动机电路）|├絶縁抵抗試験発電機有無(発・電動機回路)
d08571|终端绝缘电阻试验发电机电压（发・电动机电路）|├絶縁抵抗試験発電機電圧(発・電動機回路)
d08573|穷绝缘电阻试验发电机绝缘电阻（发・电动机电路）|├絶縁抵抗試験発電機絶縁抵抗(発・電動機回路)
d08574|有无绝缘电阻试验电动机（发・电动发电机）|├絶縁抵抗試験電動機有無(発・電動発電機)
d21160|断水发电机电路电动机电压|├発電機回路電動機電圧
d08575|穷绝缘电阻试验电动机绝缘电阻（发・电动机电路）|├絶縁抵抗試験電動機絶縁抵抗(発・電動機回路)
d08577|有无绝缘电阻试验励磁机（发・电动机电路）|├絶縁抵抗試験励磁機有無(発・電動機回路)
d21161|水上发电机电路励磁电压|├発電機回路励磁機電圧
d08578|穷绝缘电阻试验励磁绝缘电阻（发・电动机电路）|├絶縁抵抗試験励磁機絶縁抵抗(発・電動機回路)
d20552|清除积雪控制电路。|├制御回路抹消
d08590|终端绝缘电阻测试控制电路电压|├絶縁抵抗試験制御回路電圧
d08592|终端绝缘电阻测试控制电路绝缘电阻|├絶縁抵抗試験制御回路絶縁抵抗
d20553|清除积雪信号电路。|├信号回路抹消
d08595|终端绝缘电阻试验信号电路电压|├絶縁抵抗試験信号回路電圧
d20554|断水信号电路电压选择|├信号回路電圧選択
d08597|终端绝缘电阻试验信号电路绝缘电阻|├絶縁抵抗試験信号回路絶縁抵抗
d20555|断水照明电路。|├照明回路抹消
d08600|绝缘电阻试验照明电路电压|├絶縁抵抗試験照明回路電圧
d08568|绝缘电阻试验照明电路绝缘电阻|├絶縁抵抗試験照明回路絶縁抵抗
d08563|水绝缘电阻试验照明电路接地相好不好|├絶縁抵抗試験照明回路接地相良否
d20556|断掉外部线端子|├外部線端子抹消
d20557|断水外部线端子电压|├外部線端子電圧
d20558|选择断线端子电压|├外部線端子電圧選択
d08641|绝缘电阻试验外部线端子绝缘电阻|├絶縁抵抗試験外部線端子絶縁抵抗
d08564|断掉电压电路。|├低電圧回路抹消
d08565|低压电路电压|├低電圧回路電圧
d08567|低电压电路电阻|├低電圧回路抵抗
d20559|缆车及卷槽磨损富余|├綱車及び巻胴溝摩耗余裕
d20560|索道车及卷筒检查方法|├綱車及び巻胴検査方法
d20561|吊索车及卷筒要纠正标准|├綱車及び巻胴要是正基準
d22080|索道车及卷筒需要纠正标准单位区分|├綱車及び巻胴要是正基準単位区分
d20562|液态制动器保持力的检查方法|├ブレーキ保持力の検査方法
d15744|有无液态制动扭矩|├ブレーキ動トルク有無
d15743|液态制动转矩|├ブレーキ動トルク
d20563|液态制动扭矩单位|├ブレーキ動トルク単位
d20564|冷静扭矩消除|├ブレーキ静トルク抹消
d20565|遥控器静转矩|├ブレーキ静トルク
d22085|断水柱脚向左抹消|├プランジャーストローク左抹消
d22086|穷途末路|├プランジャーストローク左
d22087|水上计划者行程右抹消|├プランジャーストローク右抹消
d22088|水上行程右|├プランジャーストローク右
d20567|冷却弹簧紧固量消除线圈间隙|├スプリング締付量コイルギャップ抹消
d08649|液态制动器弹簧拧紧量左|├ブレーキスプリング締付量左
d08650|液态制动器弹簧紧固量向左单位区分|├ブレーキスプリング締付量左単位区分
d20566|悬梁紧固量线圈间隙左上选择|├スプリング締付量コイルギャップ左・上選択
d08652|液态制动器弹簧拧紧量右|├ブレーキスプリング締付量右
d08653|液态制动器弹簧紧固量向右单位区分|├ブレーキスプリング締付量右単位区分
d20568|短弹簧紧固量线圈间隙右下选择|├スプリング締付量コイルギャップ右・下選択
d20569|耐水板残留厚度的检查方法|├パッドの残存厚み検査方法
d20570|断水板残留厚度要重点基准|├パッドの残存厚み要重点基準
d22081|断水板残留厚度要重点单位区分|├パッドの残存厚み要重点基準単位区分
d20571|需要纠正滑板残留厚度的标准|├パッドの残存厚み要是正基準
d22082|需要纠正滑板残留厚度的基准单位区分|├パッドの残存厚み要是正基準単位区分
d22089|冷却垫残留厚度测量左抹消|├パッドの残存厚み測定左抹消
d20572|水面的残余厚度测量左边|├パッドの残存厚み測定左
d20573|水面的残余厚度测定左2|├パッドの残存厚み測定左2
d20574|水面的残余厚度测量右边|├パッドの残存厚み測定右
d20575|水面的残余厚度测量右2|├パッドの残存厚み測定右2
d08275|水面测量速度-上升|├実測速度-上昇
d08276|水面实测速度-下降|├実測速度-下降
d08557|池塘侧调速机开关速度|├かご側調速機スイッチ速度
d08551|池塘侧调速机开关%|├かご側調速機スイッチ％
d21816|雪笼侧调速机捕捉速度抹消|├かご側調速機キャッチ速度抹消
d08545|池塘侧调速机捕捉速度|├かご側調速機キャッチ速度
d08546|池塘侧调速机捕捉%|├かご側調速機キャッチ％
